Probe	Chromosome	Start	End
Chr1:9778001-9780000	1	9778001	9780000
Chr1:10730001-10732000	1	10730001	10736000
Chr1:10788001-10790000	1	10788001	10790000
Chr1:10818001-10820000	1	10818001	10822000
Chr1:10890001-10892000	1	10890001	10896000
Chr1:10970001-10972000	1	10970001	10984000
Chr1:11030001-11032000	1	11030001	11032000
Chr1:11070001-11072000	1	11070001	11074000
Chr1:11258001-11260000	1	11258001	11262000
Chr1:11568001-11570000	1	11568001	11570000
Chr1:11616001-11618000	1	11616001	11626000
Chr1:11674001-11676000	1	11674001	11684000
Chr1:11716001-11718000	1	11716001	11720000
Chr1:11724001-11726000	1	11724001	11728000
Chr1:11778001-11780000	1	11778001	11782000
Chr1:11888001-11890000	1	11888001	11892000
Chr1:11920001-11922000	1	11920001	11932000
Chr1:11948001-11950000	1	11948001	11950000
Chr1:12664001-12666000	1	12664001	12668000
Chr1:13208001-13210000	1	13208001	13214000
Chr1:13222001-13224000	1	13222001	13224000
Chr1:13378001-13380000	1	13378001	13380000
Chr1:13478001-13480000	1	13478001	13484000
Chr1:13552001-13554000	1	13552001	13554000
Chr1:13732001-13734000	1	13732001	13736000
Chr1:13812001-13814000	1	13812001	13820000
Chr1:13892001-13894000	1	13892001	13896000
Chr1:14086001-14088000	1	14086001	14090000
Chr1:14114001-14116000	1	14114001	14120000
Chr1:14366001-14368000	1	14366001	14368000
Chr1:14478001-14480000	1	14478001	14482000
Chr1:14972001-14974000	1	14972001	14976000
Chr1:14990001-14992000	1	14990001	14992000
Chr1:15022001-15024000	1	15022001	15026000
Chr1:15084001-15086000	1	15084001	15090000
Chr1:15230001-15232000	1	15230001	15234000
Chr1:15258001-15260000	1	15258001	15264000
Chr1:15492001-15494000	1	15492001	15496000
Chr1:15524001-15526000	1	15524001	15528000
Chr1:15738001-15740000	1	15738001	15742000
Chr1:15928001-15930000	1	15928001	15934000
Chr1:15952001-15954000	1	15952001	15956000
Chr1:16032001-16034000	1	16032001	16038000
Chr1:16072001-16074000	1	16072001	16074000
Chr1:16164001-16166000	1	16164001	16166000
Chr1:16622001-16624000	1	16622001	16626000
Chr1:16710001-16712000	1	16710001	16714000
Chr1:16740001-16742000	1	16740001	16744000
Chr1:16892001-16894000	1	16892001	16898000
Chr1:16948001-16950000	1	16948001	16952000
Chr1:17290001-17292000	1	17290001	17294000
Chr1:17330001-17332000	1	17330001	17334000
Chr1:17384001-17386000	1	17384001	17390000
Chr1:17468001-17470000	1	17468001	17472000
Chr1:17476001-17478000	1	17476001	17478000
Chr1:17700001-17702000	1	17700001	17704000
Chr1:17898001-17900000	1	17898001	17900000
Chr1:17918001-17920000	1	17918001	17922000
Chr1:17958001-17960000	1	17958001	17962000
Chr1:18082001-18084000	1	18082001	18084000
Chr1:18450001-18452000	1	18450001	18452000
Chr1:18474001-18476000	1	18474001	18478000
Chr1:18518001-18520000	1	18518001	18520000
Chr1:18538001-18540000	1	18538001	18544000
Chr1:18928001-18930000	1	18928001	18930000
Chr1:19126001-19128000	1	19126001	19132000
Chr1:19284001-19286000	1	19284001	19286000
Chr1:19374001-19376000	1	19374001	19380000
Chr1:19400001-19402000	1	19400001	19404000
Chr1:19436001-19438000	1	19436001	19438000
Chr1:19624001-19626000	1	19624001	19628000
Chr1:19688001-19690000	1	19688001	19692000
Chr1:19710001-19712000	1	19710001	19712000
Chr1:19724001-19726000	1	19724001	19726000
Chr1:19800001-19802000	1	19800001	19804000
Chr1:19840001-19842000	1	19840001	19844000
Chr1:19996001-19998000	1	19996001	19998000
Chr1:20024001-20026000	1	20024001	20028000
Chr1:20052001-20054000	1	20052001	20056000
Chr1:20204001-20206000	1	20204001	20206000
Chr1:20230001-20232000	1	20230001	20232000
Chr1:20278001-20280000	1	20278001	20284000
Chr1:20316001-20318000	1	20316001	20320000
Chr1:20432001-20434000	1	20432001	20438000
Chr1:20488001-20490000	1	20488001	20492000
Chr1:20526001-20528000	1	20526001	20530000
Chr1:20576001-20578000	1	20576001	20580000
Chr1:20644001-20646000	1	20644001	20648000
Chr1:20706001-20708000	1	20706001	20708000
Chr1:20710001-20712000	1	20710001	20712000
Chr1:21018001-21020000	1	21018001	21020000
Chr1:21116001-21118000	1	21116001	21122000
Chr1:21196001-21198000	1	21196001	21202000
Chr1:21276001-21278000	1	21276001	21282000
Chr1:21580001-21582000	1	21580001	21588000
Chr1:21996001-21998000	1	21996001	22002000
Chr1:22154001-22156000	1	22154001	22162000
Chr1:22232001-22234000	1	22232001	22234000
Chr1:22434001-22436000	1	22434001	22466000
Chr1:22872001-22874000	1	22872001	22874000
Chr1:22918001-22920000	1	22918001	22922000
Chr1:23296001-23298000	1	23296001	23306000
Chr1:23694001-23696000	1	23694001	23700000
Chr1:23726001-23728000	1	23726001	23730000
Chr1:23778001-23780000	1	23778001	23780000
Chr1:23784001-23786000	1	23784001	23786000
Chr1:23886001-23888000	1	23886001	23890000
Chr1:24076001-24078000	1	24076001	24080000
Chr1:24498001-24500000	1	24498001	24502000
Chr1:24612001-24614000	1	24612001	24616000
Chr1:24722001-24724000	1	24722001	24726000
Chr1:25120001-25122000	1	25120001	25126000
Chr1:25406001-25408000	1	25406001	25408000
Chr1:25522001-25524000	1	25522001	25526000
Chr1:25592001-25594000	1	25592001	25596000
Chr1:25662001-25664000	1	25662001	25668000
Chr1:25916001-25918000	1	25916001	25918000
Chr1:26350001-26352000	1	26350001	26354000
Chr1:26416001-26418000	1	26416001	26420000
Chr1:26430001-26432000	1	26430001	26432000
Chr1:26472001-26474000	1	26472001	26476000
Chr1:26686001-26688000	1	26686001	26688000
Chr1:26802001-26804000	1	26802001	26804000
Chr1:27140001-27142000	1	27140001	27144000
Chr1:27160001-27162000	1	27160001	27166000
Chr1:27182001-27184000	1	27182001	27186000
Chr1:27194001-27196000	1	27194001	27200000
Chr1:27272001-27274000	1	27272001	27274000
Chr1:27756001-27758000	1	27756001	27760000
Chr1:28188001-28190000	1	28188001	28192000
Chr1:28288001-28290000	1	28288001	28294000
Chr1:28402001-28404000	1	28402001	28404000
Chr1:29370001-29372000	1	29370001	29374000
Chr1:29582001-29584000	1	29582001	29586000
Chr1:29644001-29646000	1	29644001	29648000
Chr1:29704001-29706000	1	29704001	29708000
Chr1:29738001-29740000	1	29738001	29740000
Chr1:29890001-29892000	1	29890001	29894000
Chr1:29944001-29946000	1	29944001	29948000
Chr1:30036001-30038000	1	30036001	30042000
Chr1:30068001-30070000	1	30068001	30072000
Chr1:30304001-30306000	1	30304001	30312000
Chr1:30372001-30374000	1	30372001	30374000
Chr1:30662001-30664000	1	30662001	30666000
Chr1:30734001-30736000	1	30734001	30736000
Chr1:30764001-30766000	1	30764001	30766000
Chr1:30854001-30856000	1	30854001	30858000
Chr1:31076001-31078000	1	31076001	31082000
Chr1:31696001-31698000	1	31696001	31700000
Chr1:31816001-31818000	1	31816001	31820000
Chr1:31958001-31960000	1	31958001	31964000
Chr1:32066001-32068000	1	32066001	32074000
Chr1:32374001-32376000	1	32374001	32378000
Chr1:32666001-32668000	1	32666001	32672000
Chr1:33014001-33016000	1	33014001	33020000
Chr1:33046001-33048000	1	33046001	33052000
Chr1:33116001-33118000	1	33116001	33118000
Chr1:33252001-33254000	1	33252001	33256000
Chr1:33300001-33302000	1	33300001	33302000
Chr1:33408001-33410000	1	33408001	33414000
Chr1:33568001-33570000	1	33568001	33570000
Chr1:34080001-34082000	1	34080001	34084000
Chr1:34348001-34350000	1	34348001	34350000
Chr1:34418001-34420000	1	34418001	34424000
Chr1:34620001-34622000	1	34620001	34622000
Chr1:34646001-34648000	1	34646001	34650000
Chr1:34658001-34660000	1	34658001	34662000
Chr1:34736001-34738000	1	34736001	34738000
Chr1:34916001-34918000	1	34916001	34918000
Chr1:35046001-35048000	1	35046001	35048000
Chr1:35082001-35084000	1	35082001	35084000
Chr1:35156001-35158000	1	35156001	35158000
Chr1:35410001-35412000	1	35410001	35414000
Chr1:35490001-35492000	1	35490001	35492000
Chr1:35790001-35792000	1	35790001	35794000
Chr1:35896001-35898000	1	35896001	35898000
Chr1:36032001-36034000	1	36032001	36036000
Chr1:36952001-36954000	1	36952001	36956000
Chr1:37280001-37282000	1	37280001	37282000
Chr1:37776001-37778000	1	37776001	37778000
Chr1:38706001-38708000	1	38706001	38708000
Chr1:39722001-39724000	1	39722001	39728000
Chr1:39828001-39830000	1	39828001	39830000
Chr1:40196001-40198000	1	40196001	40200000
Chr1:40698001-40700000	1	40698001	40702000
Chr1:41468001-41470000	1	41468001	41472000
Chr1:41644001-41646000	1	41644001	41646000
Chr1:42014001-42016000	1	42014001	42016000
Chr1:42138001-42140000	1	42138001	42144000
Chr1:42336001-42338000	1	42336001	42340000
Chr1:42380001-42382000	1	42380001	42382000
Chr1:43228001-43230000	1	43228001	43232000
Chr1:43848001-43850000	1	43848001	43854000
Chr1:44152001-44154000	1	44152001	44154000
Chr1:44246001-44248000	1	44246001	44250000
Chr1:44272001-44274000	1	44272001	44274000
Chr1:44280001-44282000	1	44280001	44284000
Chr1:44292001-44294000	1	44292001	44294000
Chr1:44350001-44352000	1	44350001	44354000
Chr1:44368001-44370000	1	44368001	44376000
Chr1:44384001-44386000	1	44384001	44386000
Chr1:44414001-44416000	1	44414001	44418000
Chr1:44476001-44478000	1	44476001	44492000
Chr1:44602001-44604000	1	44602001	44608000
Chr1:44694001-44696000	1	44694001	44698000
Chr1:44724001-44726000	1	44724001	44730000
Chr1:44822001-44824000	1	44822001	44826000
Chr1:44904001-44906000	1	44904001	44908000
Chr1:44960001-44962000	1	44960001	44966000
Chr1:45166001-45168000	1	45166001	45172000
Chr1:45188001-45190000	1	45188001	45190000
Chr1:45200001-45202000	1	45200001	45206000
Chr1:45232001-45234000	1	45232001	45236000
Chr1:45248001-45250000	1	45248001	45252000
Chr1:45522001-45524000	1	45522001	45524000
Chr1:45558001-45560000	1	45558001	45564000
Chr1:45656001-45658000	1	45656001	45660000
Chr1:45734001-45736000	1	45734001	45738000
Chr1:45974001-45976000	1	45974001	45976000
Chr1:46050001-46052000	1	46050001	46052000
Chr1:46090001-46092000	1	46090001	46096000
Chr1:46316001-46318000	1	46316001	46318000
Chr1:46348001-46350000	1	46348001	46350000
Chr1:46384001-46386000	1	46384001	46388000
Chr1:46406001-46408000	1	46406001	46408000
Chr1:46444001-46446000	1	46444001	46450000
Chr1:46486001-46488000	1	46486001	46490000
Chr1:46548001-46550000	1	46548001	46552000
Chr1:46562001-46564000	1	46562001	46568000
Chr1:46584001-46586000	1	46584001	46588000
Chr1:46702001-46704000	1	46702001	46704000
Chr1:46952001-46954000	1	46952001	46956000
Chr1:46992001-46994000	1	46992001	46998000
Chr1:47082001-47084000	1	47082001	47086000
Chr1:47106001-47108000	1	47106001	47112000
Chr1:47176001-47178000	1	47176001	47180000
Chr1:47224001-47226000	1	47224001	47228000
Chr1:47242001-47244000	1	47242001	47248000
Chr1:47588001-47590000	1	47588001	47594000
Chr1:47630001-47632000	1	47630001	47638000
Chr1:47716001-47718000	1	47716001	47718000
Chr1:47880001-47882000	1	47880001	47882000
Chr1:48090001-48092000	1	48090001	48094000
Chr1:48226001-48228000	1	48226001	48232000
Chr1:48264001-48266000	1	48264001	48266000
Chr1:48284001-48286000	1	48284001	48286000
Chr1:48354001-48356000	1	48354001	48364000
Chr1:48366001-48368000	1	48366001	48368000
Chr1:48414001-48416000	1	48414001	48416000
Chr1:48418001-48420000	1	48418001	48424000
Chr1:48496001-48498000	1	48496001	48500000
Chr1:48546001-48548000	1	48546001	48552000
Chr1:48712001-48714000	1	48712001	48714000
Chr1:48922001-48924000	1	48922001	48928000
Chr1:49254001-49256000	1	49254001	49256000
Chr1:50016001-50018000	1	50016001	50018000
Chr1:50160001-50162000	1	50160001	50162000
Chr1:50216001-50218000	1	50216001	50218000
Chr1:50330001-50332000	1	50330001	50336000
Chr1:50384001-50386000	1	50384001	50386000
Chr1:50436001-50438000	1	50436001	50440000
Chr1:50876001-50878000	1	50876001	50878000
Chr1:51252001-51254000	1	51252001	51256000
Chr1:51662001-51664000	1	51662001	51666000
Chr1:52318001-52320000	1	52318001	52320000
Chr1:52400001-52402000	1	52400001	52406000
Chr1:52592001-52594000	1	52592001	52594000
Chr1:52888001-52890000	1	52888001	52890000
Chr1:52940001-52942000	1	52940001	52946000
Chr1:53130001-53132000	1	53130001	53134000
Chr1:54028001-54030000	1	54028001	54032000
Chr1:54266001-54268000	1	54266001	54272000
Chr1:54388001-54390000	1	54388001	54392000
Chr1:54890001-54892000	1	54890001	54896000
Chr1:55478001-55480000	1	55478001	55482000
Chr1:55776001-55778000	1	55776001	55784000
Chr1:55924001-55926000	1	55924001	55930000
Chr1:56092001-56094000	1	56092001	56098000
Chr1:56138001-56140000	1	56138001	56142000
Chr1:56382001-56384000	1	56382001	56386000
Chr1:56460001-56462000	1	56460001	56464000
Chr1:56716001-56718000	1	56716001	56720000
Chr1:56774001-56776000	1	56774001	56778000
Chr1:57066001-57068000	1	57066001	57070000
Chr1:58324001-58326000	1	58324001	58330000
Chr1:58812001-58814000	1	58812001	58818000
Chr1:58932001-58934000	1	58932001	58934000
Chr1:59346001-59348000	1	59346001	59348000
Chr1:60320001-60322000	1	60320001	60326000
Chr1:60690001-60692000	1	60690001	60692000
Chr1:60726001-60728000	1	60726001	60730000
Chr1:61210001-61212000	1	61210001	61214000
Chr1:61364001-61366000	1	61364001	61366000
Chr1:61492001-61494000	1	61492001	61500000
Chr1:61516001-61518000	1	61516001	61522000
Chr1:61672001-61674000	1	61672001	61676000
Chr1:62100001-62102000	1	62100001	62104000
Chr1:62296001-62298000	1	62296001	62302000
Chr1:62534001-62536000	1	62534001	62540000
Chr1:62672001-62674000	1	62672001	62676000
Chr1:62866001-62868000	1	62866001	62868000
Chr1:63798001-63800000	1	63798001	63804000
Chr1:63830001-63832000	1	63830001	63836000
Chr1:63860001-63862000	1	63860001	63864000
Chr1:63886001-63888000	1	63886001	63894000
Chr1:64180001-64182000	1	64180001	64184000
Chr1:64384001-64386000	1	64384001	64390000
Chr1:64962001-64964000	1	64962001	64966000
Chr1:65126001-65128000	1	65126001	65128000
Chr1:65424001-65426000	1	65424001	65426000
Chr1:65500001-65502000	1	65500001	65502000
Chr1:65540001-65542000	1	65540001	65542000
Chr1:65588001-65590000	1	65588001	65590000
Chr1:65624001-65626000	1	65624001	65626000
Chr1:65750001-65752000	1	65750001	65754000
Chr1:65780001-65782000	1	65780001	65786000
Chr1:65874001-65876000	1	65874001	65876000
Chr1:65890001-65892000	1	65890001	65892000
Chr1:65906001-65908000	1	65906001	65908000
Chr1:65948001-65950000	1	65948001	65950000
Chr1:65974001-65976000	1	65974001	65980000
Chr1:66014001-66016000	1	66014001	66028000
Chr1:66038001-66040000	1	66038001	66042000
Chr1:66050001-66052000	1	66050001	66054000
Chr1:66070001-66072000	1	66070001	66074000
Chr1:66272001-66274000	1	66272001	66278000
Chr1:66516001-66518000	1	66516001	66520000
Chr1:66544001-66546000	1	66544001	66548000
Chr1:66576001-66578000	1	66576001	66580000
Chr1:66794001-66796000	1	66794001	66796000
Chr1:66980001-66982000	1	66980001	66982000
Chr1:67106001-67108000	1	67106001	67108000
Chr1:67240001-67242000	1	67240001	67246000
Chr1:67278001-67280000	1	67278001	67282000
Chr1:67538001-67540000	1	67538001	67542000
Chr1:67588001-67590000	1	67588001	67592000
Chr1:67620001-67622000	1	67620001	67624000
Chr1:67684001-67686000	1	67684001	67688000
Chr1:67698001-67700000	1	67698001	67700000
Chr1:67714001-67716000	1	67714001	67718000
Chr1:67730001-67732000	1	67730001	67734000
Chr1:67752001-67754000	1	67752001	67758000
Chr1:67830001-67832000	1	67830001	67834000
Chr1:67884001-67886000	1	67884001	67888000
Chr1:67906001-67908000	1	67906001	67912000
Chr1:67916001-67918000	1	67916001	67920000
Chr1:68128001-68130000	1	68128001	68130000
Chr1:68268001-68270000	1	68268001	68274000
Chr1:68406001-68408000	1	68406001	68412000
Chr1:68470001-68472000	1	68470001	68474000
Chr1:68584001-68586000	1	68584001	68588000
Chr1:68600001-68602000	1	68600001	68604000
Chr1:68626001-68628000	1	68626001	68630000
Chr1:69192001-69194000	1	69192001	69198000
Chr1:69232001-69234000	1	69232001	69238000
Chr1:69258001-69260000	1	69258001	69262000
Chr1:69698001-69700000	1	69698001	69702000
Chr1:69942001-69944000	1	69942001	69946000
Chr1:69964001-69966000	1	69964001	69968000
Chr1:70210001-70212000	1	70210001	70214000
Chr1:70238001-70240000	1	70238001	70240000
Chr1:70546001-70548000	1	70546001	70548000
Chr1:70630001-70632000	1	70630001	70634000
Chr1:70688001-70690000	1	70688001	70690000
Chr1:70874001-70876000	1	70874001	70876000
Chr1:70982001-70984000	1	70982001	70984000
Chr1:71080001-71082000	1	71080001	71086000
Chr1:71252001-71254000	1	71252001	71256000
Chr1:71532001-71534000	1	71532001	71536000
Chr1:72542001-72544000	1	72542001	72548000
Chr1:73318001-73320000	1	73318001	73322000
Chr1:73468001-73470000	1	73468001	73470000
Chr1:73474001-73476000	1	73474001	73476000
Chr1:73550001-73552000	1	73550001	73554000
Chr1:73648001-73650000	1	73648001	73652000
Chr1:73868001-73870000	1	73868001	73874000
Chr1:73886001-73888000	1	73886001	73892000
Chr1:74654001-74656000	1	74654001	74660000
Chr1:75056001-75058000	1	75056001	75120000
Chr1:75708001-75710000	1	75708001	75714000
Chr1:76056001-76058000	1	76056001	76060000
Chr1:76176001-76178000	1	76176001	76178000
Chr1:76316001-76318000	1	76316001	76318000
Chr1:76352001-76354000	1	76352001	76356000
Chr1:76460001-76462000	1	76460001	76466000
Chr1:76616001-76618000	1	76616001	76618000
Chr1:76740001-76742000	1	76740001	76742000
Chr1:76774001-76776000	1	76774001	76778000
Chr1:77478001-77480000	1	77478001	77484000
Chr1:77668001-77670000	1	77668001	77670000
Chr1:77784001-77786000	1	77784001	77788000
Chr1:77938001-77940000	1	77938001	77940000
Chr1:78240001-78242000	1	78240001	78246000
Chr1:78792001-78794000	1	78792001	78794000
Chr1:78800001-78802000	1	78800001	78808000
Chr1:78828001-78830000	1	78828001	78830000
Chr1:78950001-78952000	1	78950001	78954000
Chr1:78984001-78986000	1	78984001	78990000
Chr1:78996001-78998000	1	78996001	78998000
Chr1:79040001-79042000	1	79040001	79042000
Chr1:79044001-79046000	1	79044001	79046000
Chr1:79100001-79102000	1	79100001	79104000
Chr1:79122001-79124000	1	79122001	79126000
Chr1:79248001-79250000	1	79248001	79256000
Chr1:79276001-79278000	1	79276001	79282000
Chr1:79382001-79384000	1	79382001	79386000
Chr1:79554001-79556000	1	79554001	79556000
Chr1:79716001-79718000	1	79716001	79730000
Chr1:79938001-79940000	1	79938001	79942000
Chr1:79962001-79964000	1	79962001	79968000
Chr1:80002001-80004000	1	80002001	80008000
Chr1:80136001-80138000	1	80136001	80140000
Chr1:80688001-80690000	1	80688001	80694000
Chr1:80984001-80986000	1	80984001	80990000
Chr1:81182001-81184000	1	81182001	81184000
Chr1:81420001-81422000	1	81420001	81426000
Chr1:81500001-81502000	1	81500001	81504000
Chr1:81566001-81568000	1	81566001	81570000
Chr1:81722001-81724000	1	81722001	81724000
Chr1:82174001-82176000	1	82174001	82178000
Chr1:82398001-82400000	1	82398001	82402000
Chr1:82422001-82424000	1	82422001	82426000
Chr1:82502001-82504000	1	82502001	82506000
Chr1:82548001-82550000	1	82548001	82552000
Chr1:83458001-83460000	1	83458001	83462000
Chr1:83512001-83514000	1	83512001	83516000
Chr1:83616001-83618000	1	83616001	83620000
Chr1:83674001-83676000	1	83674001	83678000
Chr1:83820001-83822000	1	83820001	83826000
Chr1:83982001-83984000	1	83982001	83988000
Chr1:84122001-84124000	1	84122001	84128000
Chr1:84162001-84164000	1	84162001	84166000
Chr1:84264001-84266000	1	84264001	84270000
Chr1:84374001-84376000	1	84374001	84378000
Chr1:84452001-84454000	1	84452001	84458000
Chr1:84544001-84546000	1	84544001	84546000
Chr1:84572001-84574000	1	84572001	84576000
Chr1:84702001-84704000	1	84702001	84706000
Chr1:85016001-85018000	1	85016001	85020000
Chr1:85048001-85050000	1	85048001	85056000
Chr1:85058001-85060000	1	85058001	85060000
Chr1:85150001-85152000	1	85150001	85152000
Chr1:85250001-85252000	1	85250001	85254000
Chr1:85262001-85264000	1	85262001	85264000
Chr1:85276001-85278000	1	85276001	85282000
Chr1:85322001-85324000	1	85322001	85324000
Chr1:85342001-85344000	1	85342001	85344000
Chr1:85348001-85350000	1	85348001	85448000
Chr1:85468001-85470000	1	85468001	85470000
Chr1:85490001-85492000	1	85490001	85492000
Chr1:85590001-85592000	1	85590001	85594000
Chr1:85624001-85626000	1	85624001	85626000
Chr1:86318001-86320000	1	86318001	86320000
Chr1:87136001-87138000	1	87136001	87140000
Chr1:87460001-87462000	1	87460001	87466000
Chr1:87742001-87744000	1	87742001	87748000
Chr1:88030001-88032000	1	88030001	88034000
Chr1:88040001-88042000	1	88040001	88044000
Chr1:88064001-88066000	1	88064001	88066000
Chr1:88112001-88114000	1	88112001	88114000
Chr1:88212001-88214000	1	88212001	88230000
Chr1:88232001-88234000	1	88232001	88270000
Chr1:88272001-88274000	1	88272001	88280000
Chr1:88282001-88284000	1	88282001	88288000
Chr1:88290001-88292000	1	88290001	88292000
Chr1:88296001-88298000	1	88296001	88306000
Chr1:88598001-88600000	1	88598001	88600000
Chr1:88830001-88832000	1	88830001	88836000
Chr1:89098001-89100000	1	89098001	89102000
Chr1:89200001-89202000	1	89200001	89202000
Chr1:89216001-89218000	1	89216001	89224000
Chr1:90446001-90448000	1	90446001	90448000
Chr1:90624001-90626000	1	90624001	90628000
Chr1:90990001-90992000	1	90990001	90996000
Chr1:91132001-91134000	1	91132001	91136000
Chr1:91472001-91474000	1	91472001	91478000
Chr1:92414001-92416000	1	92414001	92418000
Chr1:93108001-93110000	1	93108001	93110000
Chr1:93840001-93842000	1	93840001	93884000
Chr1:93898001-93900000	1	93898001	93916000
Chr1:93936001-93938000	1	93936001	93974000
Chr1:93976001-93978000	1	93976001	93984000
Chr1:94106001-94108000	1	94106001	94108000
Chr1:94152001-94154000	1	94152001	94156000
Chr1:94194001-94196000	1	94194001	94198000
Chr1:94238001-94240000	1	94238001	94242000
Chr1:94256001-94258000	1	94256001	94258000
Chr1:94390001-94392000	1	94390001	94394000
Chr1:94400001-94402000	1	94400001	94404000
Chr1:94476001-94478000	1	94476001	94478000
Chr1:94480001-94482000	1	94480001	94482000
Chr1:94724001-94726000	1	94724001	94728000
Chr1:95226001-95228000	1	95226001	95228000
Chr1:95234001-95236000	1	95234001	95238000
Chr1:95512001-95514000	1	95512001	95518000
Chr1:95696001-95698000	1	95696001	95698000
Chr1:95784001-95786000	1	95784001	95788000
Chr1:95804001-95806000	1	95804001	95806000
Chr1:95810001-95812000	1	95810001	95814000
Chr1:95844001-95846000	1	95844001	95846000
Chr1:95852001-95854000	1	95852001	95854000
Chr1:95878001-95880000	1	95878001	95880000
Chr1:95894001-95896000	1	95894001	95898000
Chr1:96192001-96194000	1	96192001	96196000
Chr1:96242001-96244000	1	96242001	96244000
Chr1:96330001-96332000	1	96330001	96332000
Chr1:96378001-96380000	1	96378001	96380000
Chr1:96534001-96536000	1	96534001	96536000
Chr1:97158001-97160000	1	97158001	97160000
Chr1:97174001-97176000	1	97174001	97180000
Chr1:97192001-97194000	1	97192001	97194000
Chr1:97418001-97420000	1	97418001	97422000
Chr1:97866001-97868000	1	97866001	97872000
Chr1:98112001-98114000	1	98112001	98116000
Chr1:98202001-98204000	1	98202001	98206000
Chr1:98368001-98370000	1	98368001	98372000
Chr1:98386001-98388000	1	98386001	98392000
Chr1:98416001-98418000	1	98416001	98418000
Chr1:98618001-98620000	1	98618001	98620000
Chr1:98646001-98648000	1	98646001	98650000
Chr1:98770001-98772000	1	98770001	98772000
Chr1:98798001-98800000	1	98798001	98800000
Chr1:98884001-98886000	1	98884001	98888000
Chr1:98896001-98898000	1	98896001	98900000
Chr1:98948001-98950000	1	98948001	98952000
Chr1:99130001-99132000	1	99130001	99132000
Chr1:99178001-99180000	1	99178001	99180000
Chr1:99184001-99186000	1	99184001	99190000
Chr1:99224001-99226000	1	99224001	99226000
Chr1:99264001-99266000	1	99264001	99266000
Chr1:99274001-99276000	1	99274001	99276000
Chr1:99284001-99286000	1	99284001	99286000
Chr1:99346001-99348000	1	99346001	99350000
Chr1:99730001-99732000	1	99730001	99732000
Chr1:99818001-99820000	1	99818001	99824000
Chr1:100224001-100226000	1	100224001	100232000
Chr1:100302001-100304000	1	100302001	100308000
Chr1:100316001-100318000	1	100316001	100320000
